number,name,octave,note in octave,frequency (base 440Hz),frequency (base 435Hz),C64 manual frequency,PAL frequency,NTSC frequency,PAL frequency 435Hz,NTSC frequency 435Hz,MIDI note number
0,C,0,0,16.351597831287414,16.165784219568238,268,278,268,275,265,24
1,C#,0,1,17.323914436054505,17.12705177200843,284,295,284,292,281,25
2,D,0,2,18.354047994837977,18.14547926762391,301,313,301,309,298,26
3,D#,0,3,19.445436482630058,19.224465613509263,318,331,319,327,315,27
4,E,0,4,20.601722307054366,20.367611826292386,337,351,338,347,334,28
5,F,0,5,21.826764464562746,21.578733050192717,358,372,358,367,354,29
6,F#,0,6,23.12465141947715,22.86187128971036,379,394,379,389,375,30
7,G,0,7,24.499714748859326,24.22130889944047,401,417,402,412,397,31
8,G#,0,8,25.956543598746574,25.661582876033545,425,442,426,437,421,32
9,A,0,9,27.5,27.1875,451,468,451,463,446,33
10,A#,0,10,29.13523509488062,28.80415287789334,477,496,478,490,473,34
11,B,0,11,30.86770632850775,30.516936938411074,506,526,506,520,501,35
12,C,1,0,32.70319566257483,32.331568439136475,536,557,536,551,530,36
13,C#,1,1,34.64782887210901,34.254103544016864,568,590,568,583,562,37
14,D,1,2,36.70809598967594,36.2909585352478,602,625,602,618,595,38
15,D#,1,3,38.890872965260115,38.44893122701853,637,662,638,655,631,39
16,E,1,4,41.20344461410875,40.735223652584786,675,702,676,694,668,40
17,F,1,5,43.653528929125486,43.15746610038542,716,743,716,735,708,41
18,F#,1,6,46.2493028389543,45.72374257942072,758,788,759,779,750,42
19,G,1,7,48.999429497718666,48.44261779888095,803,834,804,825,795,43
20,G#,1,8,51.91308719749314,51.32316575206708,851,884,852,874,842,44
21,A,1,9,55.0,54.375,902,937,902,926,892,45
22,A#,1,10,58.27047018976124,57.60830575578668,955,992,956,981,945,46
23,B,1,11,61.7354126570155,61.03387387682215,1012,1051,1013,1039,1001,47
24,C,2,0,65.40639132514966,64.66313687827295,1072,1114,1073,1101,1061,48
25,C#,2,1,69.29565774421802,68.50820708803373,1136,1180,1137,1167,1124,49
26,D,2,2,73.41619197935188,72.5819170704956,1204,1250,1204,1236,1191,50
27,D#,2,3,77.78174593052023,76.89786245403705,1275,1325,1276,1309,1261,51
28,E,2,4,82.4068892282175,81.47044730516957,1351,1403,1352,1387,1336,52
29,F,2,5,87.30705785825097,86.31493220077084,1432,1487,1432,1470,1416,53
30,F#,2,6,92.4986056779086,91.44748515884145,1517,1575,1517,1557,1500,54
31,G,2,7,97.99885899543733,96.8852355977619,1607,1669,1608,1650,1589,55
32,G#,2,8,103.82617439498628,102.64633150413415,1703,1768,1703,1748,1684,56
33,A,2,9,110.0,108.75,1804,1873,1804,1852,1784,57
34,A#,2,10,116.54094037952248,115.21661151157336,1911,1985,1912,1962,1890,58
35,B,2,11,123.47082531403103,122.06774775364431,2025,2103,2025,2079,2002,59
36,C,3,0,130.8127826502993,129.3262737565459,2145,2228,2146,2202,2122,60
37,C#,3,1,138.59131548843604,137.01641417606746,2273,2360,2274,2333,2248,61
38,D,3,2,146.8323839587038,145.16383414099124,2408,2500,2409,2472,2381,62
39,D#,3,3,155.56349186104046,153.7957249080741,2551,2649,2552,2619,2523,63
40,E,3,4,164.81377845643496,162.94089461033911,2703,2807,2704,2775,2673,64
41,F,3,5,174.61411571650194,172.6298644015417,2864,2973,2864,2940,2832,65
42,F#,3,6,184.9972113558172,182.8949703176829,3034,3150,3035,3114,3000,66
43,G,3,7,195.99771799087463,193.77047119552378,3215,3338,3215,3300,3179,67
44,G#,3,8,207.65234878997256,205.29266300826833,3406,3536,3406,3496,3368,68
45,A,3,9,220.0,217.5,3608,3746,3609,3704,3568,69
46,A#,3,10,233.08188075904496,230.43322302314672,3823,3969,3824,3924,3780,70
47,B,3,11,246.94165062806206,244.13549550728862,4050,4205,4051,4157,4005,71
48,C,4,0,261.6255653005986,258.6525475130918,4291,4455,4292,4404,4243,72
